🔍 Starting detailed monitoring of NimbleEdgeAssistant...
An error was encountered processing the command (domain=NSPOSIXErrorDomain, code=2):
The operation couldn’t be completed. No such file or directory
No such file or directory
📱 App Process ID: 
⏰ Started at: Fri Aug  1 14:19:09 IST 2025
getpwuid_r did not find a match for uid 501
Filtering the log data using "process == "NimbleEdgeAssistant""
Timestamp                       (process)[PID]
2025-08-01 14:19:48.098278+0530  localhost NimbleEdgeAssistant[58564]: (libRPAC.dylib) [ {"framework": "Photos", "swizzle":[ {"class":"PHAsset", "methods": { "prefixes":["fetch","enumerate"] }, "duplicate detection type":"AllFrames", "antipattern type":["XPC on main thread"], "performance issue type":["hang"] }, {"class":"PHFetchResult", "methods": { "prefixes":["fetch","enumerate"] }, "duplicate detection type":"AllFrames", "antipattern type":["XPC on main thread"], "performance issue type":["hang"] } ] }, {"framework": "CoreLocation", "swizzle":[ {"class":"CLLocationManager", "instance methods": { "names":["authorizationStatus", "monitoredRegions", "accuracyAuthorization"] }, "class methods": { "names":["locationServicesEnabled"] }, "duplicate detection type":"AllFrames", "antipattern type":["XPC on main thread", "XPC on main thread"], "performance issue type":["hang", "launch"] } ] }, {"framework":"CoreImage", "swizzle":[ {"class":"CIContext", "instance methods": { "names":["createCGImage:fromRect:", "initWithOptions:"] }, "duplicate detection type":"NonSystemFramesOnlyFrameworkSupplemented", "antipattern type":["IO on main thread", "IO on main thread"], "performance issue type":["hang", "launch"] } ] }, {"framework":"HealthKit", "swizzle":[ {"class":"HKHealthStore", "instance methods": { "names":["authorizationStatusForType:"] }, "duplicate detection type":"AllFrames", "antipattern type":["XPC on main thread", "XPC on main thread"], "performance issue type":["hang", "launch"] } ] }, {"framework":"CoreData", "swizzle":[ {"class":"NSManagedObjectContext", "instance methods": { "names":["performBlockAndWait:", "executeFetchRequest:error:", "mergeChangesFromContextDidSaveNotification:","save:", "countForFetchRequest:error:"] }, "duplicate detection type":"NonSystemFramesOnlyFrameworkSupplemented", "antipattern type":["Database access on main thread", "Database access on main thread"], "performance issue type":["hang", "launch"] } ] }, {"framework":"CoreML", "swizzle":[ {"class":"MLModel", "class methods": { "names":["modelWithContentsOfURL:error:"] }, "duplicate detection type":"AllFrames", "antipattern type":["IO on main thread", "IO on main thread"], "performance issue type":["hang", "launch"] } ] }, {"framework":"Foundation", "swizzle":[ {"class":"NSOperation", "instance methods": { "names":["waitUntilFinished", "waitUntilFinishedOrTimeout:"] }, "duplicate detection type":"AllFrames", "antipattern type":["waiting for operation completion on main thread", "waiting for operation completion on main thread"], "performance issue type":["hang", "launch"] }, {"class":"NSThread", "class methods": { "names":["sleepForTimeInterval:"] }, "duplicate detection type":"AllFrames", "antipattern type":["Sleep", "Sleep"], "performance issue type":["hang", "launch"] }, {"class":"NSBundle", "instance methods": { "names":["bundlePath", "bundleIdentifier", "loadAndReturnError:"] }, "class methods": { "names":["bundleWithIdentifier:", "allFrameworks", "allBundles", "pathForResource:ofType:inDirectory:"] }, "duplicate detection type":"NonSystemFramesOnlyFrameworkSupplemented", "antipattern type":["IO on main thread", "IO on main thread"], "performance issue type":["hang", "launch"] }, {"class":"NSKeyedArchiver", "class methods": { "names":["archivedDataWithRootObject:", "archivedDataWithRootObject:requiringSecureCoding:error:", "archiveRootObject:toFile:"] }, "duplicate detection type":"NonSystemFramesOnlyFrameworkSupplemented", "antipattern type":["IO on main thread", "IO on main thread"], "performance issue type":["hang", "launch"] }, {"class":"NSKeyedUnarchiver", "class methods": { "names":["unarchiveTopLevelObjectWithData:error:", "decodeObjectForKey:", "unarchiveObjectWithData:"] }, "duplicate detection type":"NonSystemFramesOnlyFrameworkSupplemented", "antipattern type":["IO on main thread", "IO on main thread"], "performance issue type":["hang", "launch"] }, {"class":"NSFileManager", "methods": { "prefixes":["remove", "create", "move", "copy"] }, "duplicate detection type":"NonSystemFramesOnlyFrameworkSupplemented", "antipattern type":["IO on main thread", "Excessive IO on any thread", "IO on main thread"], "performance issue type":["hang", "disk write", "launch"] }, {"class":"NSFileManager", "instance methods": { "names":["synchronouslyGetFileProviderServicesForItemAtURL:completionHandler:"] }, "duplicate detection type":"NonSystemFramesOnlyFrameworkSupplemented", "antipattern type":["IO on main thread", "IO on main thread"], "performance issue type":["hang", "launch"] }, {"class":"NSData", "methods": { "prefixes":["initWithContents", "dataWithContents"] }, "instance methods": { "names":["enumerateByteRangesUsingBlock:"] }, "duplicate detection type":"NonSystemFramesOnlyFrameworkSupplemented", "antipattern type":["IO on main thread", "IO on main thread"], "performance issue type":["hang", "launch"] } ] }, {"framework":"AVFCore", "swizzle":[ {"class":"AVAsset", "class methods": { "names":["assetWithURL:"] }, "duplicate detection type":"NonSystemFramesOnly", "antipattern type":["IO on main thread", "IO on main thread"], "performance issue type":["hang", "launch"] }, {"class":"AVAsset", "instance methods": { "names":["mediaSelectionGroupForMediaCharacteristic:"] }, "duplicate detection type":"AllFrames", "antipattern type":["Conditional waiting on main thread", "Conditional waiting on main thread"], "performance issue type":["hang", "launch"] }, {"class":"AVAsset", "instance methods": { "names":["tracksWithMediaType:"] }, "duplicate detection type":"AllFrames", "antipattern type":["XPC on main thread", "XPC on main thread"], "performance issue type":["hang", "launch"] }, {"class":"AVURLAsset", "instance methods": { "names":["tracks"] }, "duplicate detection type":"AllFrames", "antipattern type":["XPC on main thread", "XPC on main thread"], "performance issue type":["hang", "launch"] } ] }, {"framework":"AVFAudio", "swizzle":[ {"class":"AVAudioSession", "instance methods": { "names":["setActive:withOptions:error:", "category", "setCategory:mode:options:error:", "setCategory:mode:routeSharingPolicy:options:error:", "setCategory:withOptions:error:", "setCategory:error:", "currentRoute", "outputVolume", "setAllowHapticsAndSystemSoundsDuringRecording:error:", "isPiPAvailable"] }, "duplicate detection type":"AllFrames", "antipattern type":["XPC on main thread", "XPC on main thread"], "performance issue type":["hang", "launch"] } ] }, {"framework":"StoreKit", "swizzle":[ {"class":"SKPaymentQueue", "class methods": { "names":["canMakePayments"] }, "duplicate detection type":"AllFrames", "antipattern type":["Semaphore on main thread", "Semaphore on main thread"], "performance issue type":["hang", "launch"] }, {"class":"SKPaymentQueue", "instance methods": { "names":["storefront"] }, "duplicate detection type":"AllFrames", "antipattern type":["XPC on main thread", "XPC on main thread"], "performance issue type":["hang", "launch"] } ] }, {"framework":"CoreTelephony", "swizzle":[ {"class":"CTCellularPlanProvisioning", "instance methods": { "names":["supportsCellularPlan"] }, "duplicate detection type":"AllFrames", "antipattern type":["Semaphore on main thread", "Semaphore on main thread"], "performance issue type":["hang", "launch"] } ] }, {"framework":"Vision", "swizzle":[ {"class":"VNImageRequestHandler", "methods": { "prefixes":["performRequest"] }, "duplicate detection type":"AllFrames", "antipattern type":["Computer vision tasks on main thread", "Computer vision tasks on main thread"], "performance issue type":["hang", "launch"] } ] } ]
2025-08-01 14:19:48.100149+0530  localhost NimbleEdgeAssistant[58564]: (libxpc.dylib) [com.apple.xpc:connection] [0x600003d0c0f0] activating connection: mach=true listener=false peer=false name=com.apple.cfprefsd.daemon
2025-08-01 14:19:48.101527+0530  localhost NimbleEdgeAssistant[58564]: (libxpc.dylib) [com.apple.xpc:connection] [0x600003d04000] activating connection: mach=true listener=false peer=false name=com.apple.gputools.service.simulator
2025-08-01 14:19:48.102885+0530  localhost NimbleEdgeAssistant[58564]: (libxpc.dylib) [com.apple.xpc:connection] [0x600003d04000] invalidated after the last release of the connection object
2025-08-01 14:19:48.102983+0530  localhost NimbleEdgeAssistant[58564]: (libxpc.dylib) [com.apple.xpc:connection] [0x600003d04000] activating connection: mach=true listener=false peer=false name=com.apple.gputools.service
2025-08-01 14:19:48.104822+0530  localhost NimbleEdgeAssistant[58564]: (RunningBoardServices) [com.apple.runningboard:connection] Initializing connection
2025-08-01 14:19:48.104867+0530  localhost NimbleEdgeAssistant[58564]: (RunningBoardServices) [com.apple.runningboard:process] Removing all cached process handles
